"symbol","Margin Mode","Position Side","Entry Price","Avg. Close Pirce","Max Open Interest","Closed Vol.","Closing PNL","Opened","Closed","Status"
"GIGGLEUSDT","Cross","Long","128.18000000","123.33259200","87.76000000","87.76000000","-425.40850000","2025-10-29 17:26:00.303","2025-10-30 04:30:24.618","Closed"
"币安人生USDT","Cross","Short","0.22562798","0.17964200","474371.00000000","775416.00000000","35658.24744666","2025-10-28 11:30:36.916","2025-10-30 13:12:52.930","Closed"
"ZECUSDT","Cross","Long","334.87000000","327.53000000","0.03900000","0.03900000","-0.28626000","2025-10-28 05:32:59.746","2025-10-28 06:59:53.383","Closed"
"TAOUSDT","Cross","Long","431.77687500","494.70000000","0.08000000","0.08000000","5.03385000","2025-10-28 05:22:16.100","2025-11-02 13:24:23.977","Closed"
"BTCUSDT","Cross","Long","113797.90000000","110236.50000000","0.00100000","0.00100000","-3.56140000","2025-10-28 05:19:35.485","2025-11-02 13:23:56.830","Closed"
"HYPEUSDT","Cross","Long","47.35000000","41.92700000","0.39000000","0.39000000","-2.11497000","2025-10-28 05:19:08.207","2025-11-02 13:24:06.466","Closed"
"GIGGLEUSDT","Cross","Long","192.83114831","165.36645600","323.78000000","323.78000000","-8892.51819992","2025-10-27 13:30:44.088","2025-10-28 12:02:34.016","Closed"
"币安人生USDT","Cross","Short","0.27271300","0.27803200","228720.00000000","228720.00000000","-1216.55130708","2025-10-27 10:11:48.209","2025-10-27 12:51:09.572","Closed"
"GIGGLEUSDT","Cross","Long","191.28834500","194.53618600","652.24000000","300.02000000","974.41729756","2025-10-26 14:26:20.920",,"Partially Closed"
"GIGGLEUSDT","Cross","Long","189.99352961","188.08143500","652.24000000","770.37000000","-1473.02039974","2025-10-26 14:26:20.920","2025-10-27 10:11:38.751","Closed"
"币安人生USDT","Cross","Short","0.29051900","0.32895400","214705.00000000","214705.00000000","-8252.19554703","2025-10-25 16:49:27.996","2025-10-25 19:04:43.079","Closed"
"PROVEUSDT","Cross","Long","0.91778697","0.87273300","58528.00000000","58528.00000000","-2636.91894984","2025-10-25 11:44:05.922","2025-10-26 01:35:15.379","Closed"
"币安人生USDT","Cross","Short","0.26067000","0.24142400","239453.00000000","239453.00000000","4608.43040000","2025-10-25 03:55:06.877","2025-10-25 06:03:36.053","Closed"
