symbol,side,tms,is_new,rule_take,reason,move15m,ok_move,ok_break,ok_vol,break_level,taken,entry_px,exit_px,entry_time,exit_time,exit_reason,pnl_r,risk,stop_px_initial
SPXUSDT,LONG,1759823856349,False,False,no_trigger,-0.005187894911872317,False,False,False,,,,,,,,,,
XRPUSDT,SHORT,1759813786407,False,False,no_trigger,-0.00026745119015776674,False,False,False,,,,,,,,,,
ASTERUSDT,SHORT,1759792328080,,False,no_15m_bar,,,,,,,,,,,,,,
XPLUSDT,LONG,1759792321728,,False,no_15m_bar,,,,,,,,,,,,,,
CELOUSDT,LONG,1759757535570,False,False,no_trigger,-0.011441647597254015,False,False,False,,,,,,,,,,
COAIUSDT,LONG,1759740903625,False,False,no_trigger,0.006322584058622796,False,False,False,,,,,,,,,,
COAIUSDT,LONG,1759740903625,False,False,no_trigger,0.006322584058622796,False,False,False,,,,,,,,,,
COAIUSDT,SHORT,1759739914187,False,False,no_trigger,-0.025935782358512995,False,False,False,,,,,,,,,,
COAIUSDT,SHORT,1759739115364,False,False,no_trigger,0.3944003665998761,False,False,True,,,,,,,,,,
CAKEUSDT,SHORT,1759730449525,False,False,no_trigger,0.023086552738071087,False,False,False,,,,,,,,,,
BNBUSDT,LONG,1759730441334,False,False,no_trigger,0.01071665532851251,False,True,True,,,,,,,,,,
CELOUSDT,LONG,1759715146181,False,False,no_trigger,-0.019354838709677434,False,False,True,,,,,,,,,,
1000000MOGUSDT,LONG,1759691248467,False,False,no_trigger,-0.013197360527894433,False,False,True,,,,,,,,,,
XPLUSDT,LONG,1759683637751,,False,no_15m_bar,,,,,,,,,,,,,,
ETHUSDT,LONG,1759680967914,,False,no_15m_bar,,,,,,,,,,,,,,
ASTERUSDT,SHORT,1759679303445,,False,no_15m_bar,,,,,,,,,,,,,,
ETHUSDT,LONG,1759676415591,,False,no_15m_bar,,,,,,,,,,,,,,
DOGEUSDT,LONG,1759675390806,False,False,no_trigger,-0.006812254272256722,False,False,False,,,,,,,,,,
ASTERUSDT,SHORT,1759670988693,,False,no_15m_bar,,,,,,,,,,,,,,
XPLUSDT,LONG,1759670975852,,False,no_15m_bar,,,,,,,,,,,,,,
ASTERUSDT,LONG,1759670231562,,False,no_15m_bar,,,,,,,,,,,,,,
AVAXUSDT,SHORT,1759665730557,False,False,no_trigger,-0.002738008840799578,False,False,False,,,,,,,,,,
APTUSDT,LONG,1759665722566,False,False,no_trigger,-0.004826551456100064,False,False,False,,,,,,,,,,
2ZUSDT,SHORT,1759658758229,True,False,no_trigger,-0.005412257052030151,False,False,False,,,,,,,,,,
BTCUSDT,LONG,1759641935348,,False,no_15m_bar,,,,,,,,,,,,,,
BTCUSDT,LONG,1759641863697,,False,no_15m_bar,,,,,,,,,,,,,,
2ZUSDT,LONG,1759634013555,True,False,no_trigger,0.008896619284671732,False,False,False,,,,,,,,,,
ASTERUSDT,LONG,1759624924421,,False,no_15m_bar,,,,,,,,,,,,,,
ASTERUSDT,SHORT,1759624558498,,False,no_15m_bar,,,,,,,,,,,,,,
DASHUSDT,LONG,1759620838830,False,False,no_trigger,0.004092370651856199,False,False,False,,,,,,,,,,
AIAUSDT,LONG,1759617574575,,False,no_15m_bar,,,,,,,,,,,,,,
ZECUSDT,LONG,1759602490852,,False,no_15m_bar,,,,,,,,,,,,,,
ZECUSDT,LONG,1759602490852,,False,no_15m_bar,,,,,,,,,,,,,,
SPXUSDT,LONG,1759598086671,False,False,no_trigger,-0.01054656880210926,False,False,False,,,,,,,,,,
ASTERUSDT,SHORT,1759592555176,,False,no_15m_bar,,,,,,,,,,,,,,
BTCUSDT,LONG,1759587954181,,False,no_15m_bar,,,,,,,,,,,,,,
ZECUSDT,LONG,1759581835034,,False,no_15m_bar,,,,,,,,,,,,,,
XPLUSDT,SHORT,1759554982136,,False,no_15m_bar,,,,,,,,,,,,,,
2ZUSDT,SHORT,1759548812923,True,False,no_trigger,-0.0038942167974425194,False,False,False,,,,,,,,,,
DASHUSDT,SHORT,1759543641326,False,False,no_trigger,-0.010914927768860348,False,False,False,,,,,,,,,,
ZECUSDT,SHORT,1759535608478,,False,no_15m_bar,,,,,,,,,,,,,,
USELESSUSDT,LONG,1759517374556,False,False,no_trigger,-0.01651527663088358,False,False,False,,,,,,,,,,
SPXUSDT,LONG,1759517147976,False,False,no_trigger,0.002716792716058311,False,False,False,,,,,,,,,,
1000000MOGUSDT,LONG,1759517134618,False,False,no_trigger,0.0008244994110718892,False,False,False,,,,,,,,,,
ASTERUSDT,LONG,1759516919208,,False,no_15m_bar,,,,,,,,,,,,,,
2ZUSDT,SHORT,1759514163476,True,False,no_trigger,-0.018067645565812494,False,False,False,,,,,,,,,,
ASTERUSDT,SHORT,1759511994233,,False,no_15m_bar,,,,,,,,,,,,,,
BTCUSDT,LONG,1759507550332,,False,no_15m_bar,,,,,,,,,,,,,,
2ZUSDT,SHORT,1759477234250,True,False,no_trigger,-0.005519280061366926,False,False,False,,,,,,,,,,
ZECUSDT,LONG,1759472209542,,False,no_15m_bar,,,,,,,,,,,,,,
WLDUSDT,SHORT,1759456499477,False,False,no_trigger,-0.00262565641410357,False,True,False,,,,,,,,,,
ASTERUSDT,LONG,1759441433867,,False,no_15m_bar,,,,,,,,,,,,,,
ASTERUSDT,LONG,1759441433867,,False,no_15m_bar,,,,,,,,,,,,,,
LINKUSDT,LONG,1759426087605,False,False,no_trigger,0.0007089684509038566,False,False,False,,,,,,,,,,
LINKUSDT,LONG,1759426087605,False,False,no_trigger,0.0007089684509038566,False,False,False,,,,,,,,,,
2ZUSDT,SHORT,1759420202962,True,False,no_trigger,-0.006180296584204216,False,False,False,,,,,,,,,,
ZECUSDT,LONG,1759417781778,,False,no_15m_bar,,,,,,,,,,,,,,
2ZUSDT,LONG,1759414723097,True,False,no_trigger,0.12654687559863606,True,False,False,,,,,,,,,,
2ZUSDT,SHORT,1759410702888,True,False,no_trigger,-0.20991196981822344,True,False,False,,,,,,,,,,
2ZUSDT,LONG,1759409589244,True,False,no_trigger,-0.1572713441056949,False,False,False,,,,,,,,,,
MYXUSDT,SHORT,1759405080817,False,False,no_trigger,-0.016456783056668603,False,False,False,,,,,,,,,,
MYXUSDT,SHORT,1759405080817,False,False,no_trigger,-0.016456783056668603,False,False,False,,,,,,,,,,
ZECUSDT,LONG,1759381168546,,False,no_15m_bar,,,,,,,,,,,,,,
1000LUNCUSDT,LONG,1759369650496,False,False,no_trigger,0.008715759516186488,False,True,True,,,,,,,,,,
DASHUSDT,LONG,1759369537424,False,False,no_trigger,-0.013487475915221635,False,False,False,,,,,,,,,,
ASTERUSDT,SHORT,1759334243739,,False,no_15m_bar,,,,,,,,,,,,,,
XPLUSDT,SHORT,1759310774875,,False,no_15m_bar,,,,,,,,,,,,,,
ASTERUSDT,SHORT,1759292113187,,False,no_15m_bar,,,,,,,,,,,,,,
XPLUSDT,LONG,1759251249589,,False,no_15m_bar,,,,,,,,,,,,,,
ASTERUSDT,SHORT,1759250572482,,False,no_15m_bar,,,,,,,,,,,,,,
AAVEUSDT,SHORT,1759250387826,False,False,no_trigger,-0.005261783035414505,False,False,False,,,,,,,,,,
BTCUSDT,LONG,1759247858117,,False,no_15m_bar,,,,,,,,,,,,,,
BTCUSDT,LONG,1759247858117,,False,no_15m_bar,,,,,,,,,,,,,,
ZROUSDT,SHORT,1759247803348,False,False,no_trigger,0.005250525052505227,False,False,False,,,,,,,,,,
